,deprecated,new,final
0,4.694871604442596,4.34015654027462,4.5907678455114365
1,4.312122613191605,4.865739122033119,4.636337347328663
2,4.9124062061309814,4.574177414178848,"T-test    0.560156
Name: p-val, dtype: float64"
3,4.471854120492935,4.686978831887245,"T-test    0.185873
Name: cohen-d, dtype: float64"
4,4.642059281468391,4.746183753013611,0
5,4.526275396347046,4.724307730793953,0
6,4.943681508302689,4.650971665978432,0
7,4.411038011312485,4.578343406319618,0
8,4.742656648159027,4.764948785305023,0
9,4.1799139231443405,4.12399098277092,0
10,4.535252973437309,4.614226520061493,0
11,4.226766154170036,4.2202092707157135,0
12,4.808918386697769,4.637007787823677,0
13,4.098185896873474,4.641289636492729,0
14,4.580191895365715,4.8602379858493805,0
15,4.987305402755737,4.763926938176155,0
16,4.683409631252289,4.470748454332352,0
17,4.705193266272545,4.391271620988846,0
18,4.661005362868309,4.980703443288803,0
19,4.692248627543449,5.091327056288719,0
