,deprecated,new,p-value
0,8.041172,8.390481,0.41006366458060794
1,8.219521,8.10948,0.41006366458060794
2,8.419047,8.30171,0.41006366458060794
3,8.088599,8.382402,0.41006366458060794
4,8.281604,8.2272005,0.41006366458060794
5,8.037178,8.368751,0.41006366458060794
6,8.186307,8.265903,0.41006366458060794
7,8.139356,8.419052,0.41006366458060794
8,8.375534,8.206865,0.41006366458060794
9,8.303176,8.322903,0.41006366458060794
10,8.22398,8.145609,0.41006366458060794
11,8.20449,7.9448757,0.41006366458060794
12,8.035726,7.9985304,0.41006366458060794
13,8.203435,8.23852,0.41006366458060794
14,8.250843,8.259032,0.41006366458060794
15,8.218401,8.4831295,0.41006366458060794
16,8.213749,8.319898,0.41006366458060794
17,8.248508,8.241231,0.41006366458060794
18,8.353386,8.071116,0.41006366458060794
19,8.330342,8.345073,0.41006366458060794
