,0
where,55
load,27
scalar,22
shard,16
apply,15
flatten,17
to_float,14
sparse_to_dense,7
parallel_interleave,5
make_one_shot_iterator,5
to_int32,9
py_func,2
batch,2
is_gpu_available,2
max_pooling2d,4
dense,4
batch_normalization,4
softmax_cross_entropy_with_logits,3
tf_record_iterator,4
map_and_batch,3
test_session,1
