,0
to_int32,"('tensorflow-r1.13', 'tensorflow-r1.0')"
conv3d_transpose,"('tensorflow-r1.13', 'tensorflow-r1.0')"
average_pooling1d,"('tensorflow-r1.13', 'tensorflow-r1.0')"
must_run_on_cpu,"('tensorflow-r1.13', 'tensorflow-r1.0')"
dynamic_rnn,"('tensorflow-r1.13', 'tensorflow-r1.0')"
where,"('tensorflow-r1.14', 'tensorflow-r1.0')"
output_shapes,"('tensorflow-r1.14', 'tensorflow-r1.4')"
enumerate_dataset,"('tensorflow-r1.14', 'tensorflow-r1.12')"
make_initializable_iterator,"('tensorflow-r1.14', 'tensorflow-r1.4')"
make_one_shot_iterator,"('tensorflow-r1.14', 'tensorflow-r1.4')"
shuffle_and_repeat,"('tensorflow-r1.14', 'tensorflow-r1.12')"
static_state_saving_rnn,"('tensorflow-r1.14', 'tensorflow-r1.2')"
parallel_interleave,"('tensorflow-r1.14', 'tensorflow-r1.12')"
output_classes,"('tensorflow-r1.14', 'tensorflow-r1.5')"
map_and_batch,"('tensorflow-r1.14', 'tensorflow-r1.12')"
batch_gather,"('tensorflow-r1.14', 'tensorflow-r1.11')"
output_types,"('tensorflow-r1.14', 'tensorflow-r1.4')"
graph,"('tensorflow-r1.14', 'tensorflow-r1.0')"
weighted_cross_entropy_with_logits,"('tensorflow-r1.14', 'tensorflow-r1.0')"
initialized_value,"('tensorflow-r1.14', 'tensorflow-r1.0')"
alias_inplace_add,"('tensorflow-r1.15', 'tensorflow-r1.8')"
export_saved_model,"('tensorflow-r1.15', 'tensorflow-r1.11')"
alias_inplace_sub,"('tensorflow-r1.15', 'tensorflow-r1.8')"
inplace_update,"('tensorflow-r1.15', 'tensorflow-r1.8')"
compute_gradient_error,"('tensorflow-r1.15', 'tensorflow-r1.0')"
compute_gradient,"('tensorflow-r1.15', 'tensorflow-r1.0')"
apply,"('tensorflow-r1.15', 'tensorflow-r1.0')"
vector,"('tensorflow-r1.15', 'tensorflow-r1.0')"
inplace_sub,"('tensorflow-r1.15', 'tensorflow-r1.8')"
scalar,"('tensorflow-r1.15', 'tensorflow-r1.0')"
cpu,"('tensorflow-r1.15', 'tensorflow-r1.5')"
add_variable,"('tensorflow-r1.15', 'tensorflow-r1.2')"
unbatch,"('tensorflow-r1.15', 'tensorflow-r1.12')"
gpu,"('tensorflow-r1.15', 'tensorflow-r1.5')"
matrix,"('tensorflow-r1.15', 'tensorflow-r1.0')"
alias_inplace_update,"('tensorflow-r1.15', 'tensorflow-r1.8')"
inplace_add,"('tensorflow-r1.15', 'tensorflow-r1.8')"
load_from_saved_model,"('tensorflow-r1.15', 'tensorflow-r1.14')"
multi_gpu_model,"('tensorflow-r2.0', 'tensorflow-r1.5')"
graph_parents,"('tensorflow-r2.1', 'tensorflow-r1.2')"
is_gpu_available,"('tensorflow-r2.1', 'tensorflow-r1.4')"
predict_generator,"('tensorflow-r2.1', 'tensorflow-r1.4')"
evaluate_generator,"('tensorflow-r2.1', 'tensorflow-r1.4')"
auc,"('tensorflow-r2.1', 'tensorflow-r1.0')"
