,deprecated,new,p-value
0,25.815788,24.504264,0.9964265852294312
1,25.811204,24.523969,0.9964265852294312
2,25.611761,24.956927,0.9964265852294312
3,25.847775,25.183481,0.9964265852294312
4,24.541883,26.05592,0.9964265852294312
5,24.832077,25.676543,0.9964265852294312
6,25.219336,25.219235,0.9964265852294312
7,24.97493,25.473112,0.9964265852294312
8,6.105046,16.56523,0.9964265852294312
9,16.457705,18.305905,0.9964265852294312
10,18.525352,5.629062,0.9964265852294312
11,23.209488,20.984475,0.9964265852294312
12,22.548929,21.578853,0.9964265852294312
13,20.438834,23.348674,0.9964265852294312
14,21.620819,22.437149,0.9964265852294312
15,23.787877,24.061774,0.9964265852294312
16,23.958655,24.302785,0.9964265852294312
17,25.763741,26.174566,0.9964265852294312
18,26.424527,26.297086,0.9964265852294312
19,26.180002,26.534045,0.9964265852294312
