,deprecated,new,p-value
0,25.815788,21.682829,0.9483729725668542
1,25.811204,20.598371,0.9483729725668542
2,25.611761,22.661951,0.9483729725668542
3,25.847775,23.626675,0.9483729725668542
4,24.541883,26.240101,0.9483729725668542
5,24.832077,26.419634,0.9483729725668542
6,25.219336,18.309158,0.9483729725668542
7,24.97493,16.506428,0.9483729725668542
8,6.105046,26.372093,0.9483729725668542
9,16.457705,5.342766,0.9483729725668542
10,18.525352,26.050511,0.9483729725668542
11,23.209488,25.750983,0.9483729725668542
12,22.548929,25.696129,0.9483729725668542
13,20.438834,25.916445,0.9483729725668542
14,21.620819,24.876924,0.9483729725668542
15,23.787877,24.488875,0.9483729725668542
16,23.958655,25.156531,0.9483729725668542
17,25.763741,24.462239,0.9483729725668542
18,26.424527,23.711687,0.9483729725668542
19,26.180002,25.816244,0.9483729725668542
