,deprecated,new,p-value
0,0.0,0.0,0.9634072311125638
1,0.0,0.0,0.9634072311125638
2,0.0,0.0,0.9634072311125638
3,0.0,0.0,0.9634072311125638
4,0.0,0.0,0.9634072311125638
5,0.0,0.0,0.9634072311125638
6,0.0,0,0.9634072311125638
7,0.0,0.0,0.9634072311125638
8,0.0,0.0,0.9634072311125638
9,0.0,0.0,0.9634072311125638
10,0.0,0.0,0.9634072311125638
11,0.0,0.0,0.9634072311125638
12,0.0,0.0,0.9634072311125638
13,0.0,0.0,0.9634072311125638
14,0.0,0.0,0.9634072311125638
15,0.0,0.0,0.9634072311125638
16,0.0,0.0,0.9634072311125638
17,0.0,0.0,0.9634072311125638
18,0.0,0.0,0.9634072311125638
19,1.7879195511341,1.6747800633311272,0.9634072311125638
