,deprecated,new,p-value
0,0.2430557,0.2262419,0.6132500724709102
1,0.2237536,0.2301472,0.6132500724709102
2,0.2426143,0.2231491,0.6132500724709102
3,0.2317489,0.2478152,0.6132500724709102
4,0.2389569,0.2281911,0.6132500724709102
5,0.2274259,0.2312969,0.6132500724709102
6,0.2242593,0.2178798,0.6132500724709102
7,0.2330458,0.2215052,0.6132500724709102
8,0.2349538,0.2456753,0.6132500724709102
9,0.2291402,0.2244846,0.6132500724709102
10,0.2414008,0.2369365,0.6132500724709102
11,0.2267726,0.2298026,0.6132500724709102
12,0.2281068,0.2250959,0.6132500724709102
13,0.2233674,0.2244163,0.6132500724709102
14,0.2272428,0.2331993,0.6132500724709102
15,0.2247586,0.2246596,0.6132500724709102
16,0.2338677,0.2364918,0.6132500724709102
17,0.2247115,0.2288651,0.6132500724709102
18,0.2336314,0.2230798,0.6132500724709102
19,0.2275869,0.2382525,0.6132500724709102
