,deprecated,new,final
0,0.0,0.003125,0.0016250000000000001
1,0.0025,0.001875,0.0020937500000000006
2,0.003125,0.00125,"T-test    0.170186
Name: p-val, dtype: float64"
3,0.00125,0.001875,"T-test    0.442124
Name: cohen-d, dtype: float64"
4,0.00125,0.00125,0
5,0.0,0.001875,0
6,0.001875,0.003125,0
7,0.000625,0.001875,0
8,0.000625,0.001875,0
9,0.001875,0.001875,0
10,0.00125,0.001875,0
11,0.001875,0.00125,0
12,0.00125,0.003125,0
13,0.001875,0.001875,0
14,0.001875,0.00375,0
15,0.005,0.001875,0
16,0.00125,0.00375,0
17,0.0,0.001875,0
18,0.00125,0.00125,0
19,0.00375,0.00125,0
