,deprecated,new,p-value
0,8.041172,8.218025,0.5880510230813754
1,8.219521,8.204883,0.5880510230813754
2,8.419047,8.1834135,0.5880510230813754
3,8.088599,8.286842,0.5880510230813754
4,8.281604,8.310217,0.5880510230813754
5,8.037178,8.0421505,0.5880510230813754
6,8.186307,8.193923,0.5880510230813754
7,8.139356,8.274749,0.5880510230813754
8,8.375534,8.316328,0.5880510230813754
9,8.303176,8.218665,0.5880510230813754
10,8.22398,8.223297,0.5880510230813754
11,8.20449,8.192294,0.5880510230813754
12,8.035726,8.370474,0.5880510230813754
13,8.203435,8.246556,0.5880510230813754
14,8.250843,8.197442,0.5880510230813754
15,8.218401,8.122288,0.5880510230813754
16,8.213749,8.229013,0.5880510230813754
17,8.248508,8.512946,0.5880510230813754
18,8.353386,8.169867,0.5880510230813754
19,8.330342,8.218576,0.5880510230813754
